epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,94.8787,0.4263,0.3963,0.81303,0.8037,0.87272,0.9032,0.81892,0.46353,0.52093,0.8391,0.0015921,0.0015921,0.0015921
43,97.0658,0.40656,0.41815,0.81207,0.80953,0.91061,0.89395,0.8083,0.46729,0.52093,0.83938,0.00158847,0.00158847,0.00158847
44,99.2812,0.4161,0.39876,0.825,0.78281,0.91602,0.88714,0.79188,0.4444,0.5181,0.83679,0.00158475,0.00158475,0.00158475
45,101.449,0.40649,0.39113,0.81158,0.85559,0.81863,0.90243,0.804,0.47256,0.53447,0.84779,0.00158094,0.00158094,0.00158094
46,103.644,0.40802,0.38905,0.83033,0.86433,0.80853,0.88618,0.81043,0.40404,0.49814,0.83385,0.00157706,0.00157706,0.00157706
47,105.848,0.39658,0.38702,0.81484,0.8893,0.83333,0.87993,0.79107,0.40622,0.49655,0.82645,0.0015731,0.0015731,0.0015731
48,108.019,0.3875,0.36273,0.80362,0.87218,0.81863,0.90192,0.81931,0.43111,0.52996,0.83235,0.00156906,0.00156906,0.00156906
49,110.215,0.40963,0.40237,0.79875,0.87754,0.81863,0.89198,0.80687,0.43712,0.481,0.82774,0.00156493,0.00156493,0.00156493
50,112.441,0.40043,0.37106,0.81065,0.84224,0.8017,0.8641,0.78676,0.45486,0.55856,0.83705,0.00156073,0.00156073,0.00156073
51,114.622,0.3926,0.38861,0.83203,0.92821,0.72059,0.8664,0.7702,0.4936,0.55455,0.84717,0.00155645,0.00155645,0.00155645
52,116.798,0.41737,0.38011,0.81591,0.80047,0.81863,0.8669,0.77485,0.45889,0.49888,0.83926,0.00155209,0.00155209,0.00155209
53,118.98,0.39557,0.3704,0.79232,0.7399,0.91667,0.87829,0.79449,0.45423,0.51041,0.84218,0.00154765,0.00154765,0.00154765
54,121.22,0.38494,0.37279,0.80623,0.7586,0.88797,0.89109,0.81317,0.46238,0.52179,0.83521,0.00154314,0.00154314,0.00154314
55,123.435,0.41182,0.39725,0.80766,0.82757,0.94363,0.909,0.82949,0.45195,0.49853,0.83146,0.00153854,0.00153854,0.00153854
56,125.672,0.39355,0.39098,0.8091,0.91151,0.86029,0.9077,0.8257,0.42011,0.43512,0.82754,0.00153388,0.00153388,0.00153388
57,127.894,0.37517,0.35509,0.7966,0.78489,0.94363,0.90633,0.82843,0.40871,0.42054,0.82192,0.00152913,0.00152913,0.00152913
58,130.083,0.41051,0.37107,0.81746,0.80761,0.93857,0.91191,0.81664,0.42651,0.43209,0.83131,0.00152431,0.00152431,0.00152431
59,132.252,0.39908,0.37036,0.81672,0.83854,0.87881,0.91767,0.84336,0.42375,0.46854,0.82874,0.00151942,0.00151942,0.00151942
60,134.442,0.39937,0.37366,0.81087,0.83128,0.89899,0.90163,0.81852,0.42899,0.45499,0.82069,0.00151445,0.00151445,0.00151445
61,136.625,0.39067,0.35389,0.80717,0.86483,0.79489,0.89096,0.8191,0.38339,0.47192,0.81259,0.00150941,0.00150941,0.00150941
62,138.804,0.37647,0.3585,0.79325,0.9571,0.73529,0.85595,0.79036,0.37199,0.51114,0.81452,0.00150429,0.00150429,0.00150429
63,140.981,0.36706,0.36233,0.79753,0.95604,0.73529,0.85673,0.79983,0.40302,0.51295,0.81983,0.0014991,0.0014991,0.0014991
64,143.185,0.39449,0.35935,0.80402,0.74318,0.90836,0.87416,0.80984,0.40601,0.46813,0.82035,0.00149384,0.00149384,0.00149384
65,145.36,0.37702,0.35076,0.8115,0.86519,0.85757,0.89918,0.84307,0.41146,0.4379,0.8241,0.00148851,0.00148851,0.00148851
66,147.526,0.36805,0.36024,0.80202,0.91422,0.89814,0.9265,0.82348,0.43813,0.4014,0.82848,0.00148311,0.00148311,0.00148311
67,149.684,0.36288,0.35416,0.79316,0.84457,0.94363,0.93372,0.82668,0.45115,0.46061,0.82958,0.00147764,0.00147764,0.00147764
68,151.857,0.37038,0.34495,0.80707,0.81495,0.90196,0.9065,0.82694,0.42354,0.4853,0.82662,0.00147209,0.00147209,0.00147209
69,154.036,0.36588,0.35977,0.79776,0.82753,0.89628,0.88474,0.78511,0.45106,0.51568,0.83654,0.00146648,0.00146648,0.00146648
70,156.275,0.39912,0.3749,0.8204,0.82691,0.90196,0.88194,0.78987,0.45321,0.4857,0.83539,0.0014608,0.0014608,0.0014608
71,158.492,0.36327,0.37282,0.80714,0.87561,0.81863,0.9095,0.83365,0.40995,0.44168,0.82475,0.00145505,0.00145505,0.00145505
72,160.711,0.36759,0.37058,0.80236,0.91015,0.84817,0.91113,0.83482,0.4115,0.46302,0.81982,0.00144924,0.00144924,0.00144924
73,162.91,0.37868,0.36453,0.81237,0.87424,0.85277,0.90043,0.8263,0.41897,0.47305,0.82161,0.00144335,0.00144335,0.00144335
74,165.133,0.38716,0.36062,0.80351,0.76283,0.89007,0.87469,0.80789,0.41443,0.45676,0.81553,0.00143741,0.00143741,0.00143741
75,167.304,0.37371,0.35831,0.80182,0.85858,0.86029,0.90223,0.83223,0.40108,0.4556,0.81714,0.00143139,0.00143139,0.00143139
76,169.486,0.35708,0.33989,0.79333,0.82759,0.90196,0.90226,0.8258,0.43064,0.49326,0.82577,0.00142531,0.00142531,0.00142531
77,171.681,0.37185,0.33377,0.8015,0.81558,0.90196,0.9021,0.81362,0.40631,0.49267,0.81999,0.00141917,0.00141917,0.00141917
78,173.888,0.37742,0.34519,0.80698,0.85584,0.86029,0.89105,0.82074,0.38848,0.4859,0.81413,0.00141297,0.00141297,0.00141297
79,176.065,0.3485,0.33268,0.80024,0.85902,0.86029,0.88493,0.82159,0.38655,0.50783,0.81771,0.0014067,0.0014067,0.0014067
80,178.246,0.38,0.35057,0.80719,0.82335,0.83047,0.87707,0.82483,0.39218,0.52958,0.82302,0.00140037,0.00140037,0.00140037
81,180.462,0.35814,0.32978,0.81725,0.78691,0.90196,0.87376,0.80289,0.41194,0.53776,0.82404,0.00139398,0.00139398,0.00139398
82,182.636,0.35584,0.32803,0.80477,0.80197,0.90196,0.85936,0.79715,0.39981,0.57851,0.82762,0.00138753,0.00138753,0.00138753
83,184.8,0.34795,0.3256,0.79666,0.78308,0.90196,0.86466,0.80917,0.37295,0.58739,0.82238,0.00138101,0.00138101,0.00138101
84,186.992,0.3565,0.30625,0.81211,0.7946,0.90196,0.86462,0.80399,0.42253,0.54206,0.82678,0.00137444,0.00137444,0.00137444
85,189.16,0.35323,0.32756,0.79826,0.7932,0.90196,0.86107,0.80251,0.41327,0.55159,0.82722,0.00136781,0.00136781,0.00136781
86,191.397,0.3641,0.32443,0.79781,0.75858,0.90196,0.86539,0.80324,0.38969,0.56231,0.81962,0.00136113,0.00136113,0.00136113
87,193.596,0.35334,0.33277,0.80123,0.74363,0.90196,0.86224,0.78922,0.37454,0.55305,0.816,0.00135438,0.00135438,0.00135438
88,195.782,0.35517,0.3135,0.80189,0.80347,0.86029,0.86053,0.79459,0.41216,0.51318,0.8196,0.00134758,0.00134758,0.00134758
89,197.947,0.35671,0.31239,0.80858,0.81009,0.86029,0.85266,0.77935,0.42673,0.56869,0.82108,0.00134073,0.00134073,0.00134073
90,200.135,0.35457,0.3283,0.80193,0.79523,0.90196,0.85074,0.79395,0.41072,0.57714,0.82076,0.00133382,0.00133382,0.00133382
91,202.313,0.3347,0.30358,0.79076,0.80071,0.90196,0.87446,0.81756,0.40386,0.55929,0.82884,0.00132685,0.00132685,0.00132685
92,204.514,0.33583,0.31405,0.79461,0.74819,0.89795,0.87141,0.81267,0.39584,0.5205,0.81576,0.00131984,0.00131984,0.00131984
93,206.699,0.33997,0.30852,0.80923,0.79773,0.90196,0.85557,0.78389,0.37586,0.45269,0.81464,0.00131277,0.00131277,0.00131277
94,208.906,0.33137,0.29484,0.78147,0.8336,0.86029,0.86579,0.80904,0.40108,0.47906,0.82025,0.00130565,0.00130565,0.00130565
95,211.146,0.35649,0.30751,0.81226,0.82859,0.86029,0.88817,0.82503,0.41301,0.48553,0.82436,0.00129847,0.00129847,0.00129847
96,213.372,0.34847,0.30292,0.7975,0.92267,0.80443,0.88901,0.84404,0.38782,0.4817,0.81928,0.00129125,0.00129125,0.00129125
97,215.568,0.34375,0.29924,0.79822,0.91567,0.81863,0.86806,0.82745,0.40617,0.5436,0.82168,0.00128398,0.00128398,0.00128398
98,217.796,0.34099,0.31169,0.79148,0.83238,0.81863,0.85058,0.80629,0.37933,0.51968,0.82021,0.00127666,0.00127666,0.00127666
99,219.982,0.33878,0.28904,0.79995,0.83063,0.81863,0.85752,0.79258,0.37751,0.50743,0.81679,0.00126929,0.00126929,0.00126929
100,222.17,0.34273,0.29693,0.78894,0.82113,0.89411,0.8782,0.81817,0.37982,0.45463,0.81121,0.00126188,0.00126188,0.00126188
101,224.349,0.31396,0.27739,0.78721,0.83821,0.86029,0.88001,0.81475,0.37039,0.46822,0.81119,0.00125442,0.00125442,0.00125442
