                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75263,                 0.3826,                0.93481,                0.98633,                      1,                  0.995,                0.84531,                0.64134,                0.37897,                0.86057,              0.0016042,              0.0016042,              0.0016042
                     37,                0.69367,                0.38491,                0.90031,                0.98816,                 0.9956,                  0.995,                0.82254,                0.71872,                0.40531,                 0.8855,              0.0016006,              0.0016006,              0.0016006
                     38,                0.68689,                0.39957,                0.90694,                0.98782,                      1,                  0.995,                0.81536,                0.76755,                0.42667,                0.90172,              0.0015969,              0.0015969,              0.0015969
                     39,                0.72361,                0.41574,                0.91283,                0.99255,                      1,                  0.995,                0.84717,                0.67046,                0.37199,                0.87376,              0.0015931,              0.0015931,              0.0015931
                     40,                0.68998,                0.38042,                0.88605,                0.99342,                      1,                  0.995,                0.85096,                0.65899,                 0.3625,                0.86831,              0.0015893,              0.0015893,              0.0015893
                     41,                0.68583,                0.39342,                0.90009,                0.99006,                0.99779,                  0.995,                0.83399,                0.69525,                0.37416,                0.87307,              0.0015853,              0.0015853,              0.0015853
                     42,                 0.6934,                0.38776,                0.91122,                      1,                0.98858,                  0.995,                0.84828,                0.66408,                0.34956,                0.86295,              0.0015812,              0.0015812,              0.0015812
                     43,                0.68985,                0.37715,                0.90363,                      1,                0.99682,                  0.995,                0.84651,                0.65556,                0.35141,                0.86452,              0.0015771,              0.0015771,              0.0015771
                     44,                0.71488,                0.37356,                0.90115,                0.99792,                0.99802,                  0.995,                0.84617,                0.68758,                0.36305,                0.86412,              0.0015728,              0.0015728,              0.0015728
                     45,                 0.6907,                0.37631,                0.89476,                0.99739,                0.99975,                  0.995,                 0.8489,                0.67756,                0.36113,                0.86299,              0.0015685,              0.0015685,              0.0015685
                     46,                0.68154,                0.38174,                 0.9064,                 0.9962,                      1,                  0.995,                0.86111,                0.60904,                0.33414,                0.84605,               0.001564,               0.001564,               0.001564
                     47,                0.53686,                  1.864,                0.67654,                0.99649,                      1,                  0.995,                 0.8608,                0.60418,                0.32667,                0.84587,              0.0015595,              0.0015595,              0.0015595
                     48,                0.68387,                0.38521,                0.91888,                0.99633,                      1,                  0.995,                0.87917,                0.60091,                0.31668,                0.84275,              0.0015549,              0.0015549,              0.0015549
                     49,                0.78311,                0.43676,                0.91859,                0.99626,                      1,                  0.995,                0.85382,                0.60399,                0.31719,                0.84171,              0.0015502,              0.0015502,              0.0015502
                     50,                0.82145,                0.41964,                0.94654,                0.99651,                      1,                  0.995,                0.86207,                0.62011,                0.33836,                0.85583,              0.0015454,              0.0015454,              0.0015454
                     51,                 0.6383,                 0.3852,                0.85886,                0.99534,                 0.9921,                  0.995,                 0.8503,                0.61689,                0.34379,                0.85322,              0.0015405,              0.0015405,              0.0015405
                     52,                0.70277,                0.39372,                0.89912,                0.98755,                0.99683,                  0.995,                0.85462,                0.62283,                0.32931,                0.85263,              0.0015356,              0.0015356,              0.0015356
                     53,                0.65709,                0.37148,                0.89084,                0.99638,                      1,                  0.995,                0.85501,                0.61032,                0.30721,                 0.8476,              0.0015305,              0.0015305,              0.0015305
                     54,                0.68674,                 0.3816,                0.88701,                0.99552,                      1,                  0.995,                0.86437,                0.61817,                0.31858,                 0.8512,              0.0015254,              0.0015254,              0.0015254
                     55,                0.72443,                0.38689,                0.92948,                0.99546,                      1,                  0.995,                0.87236,                0.59768,                 0.3053,                0.84362,              0.0015201,              0.0015201,              0.0015201
                     56,                0.76706,                0.52861,                 0.9328,                0.99636,                      1,                  0.995,                 0.8703,                0.55688,                0.30225,                0.82972,              0.0015148,              0.0015148,              0.0015148
                     57,                0.63551,                0.37826,                0.89072,                0.99679,                      1,                  0.995,                0.87476,                0.56464,                0.29433,                0.83828,              0.0015094,              0.0015094,              0.0015094
                     58,                0.70079,                0.43985,                0.88887,                 0.9941,                      1,                  0.995,                 0.8593,                 0.5965,                0.29824,                0.84617,              0.0015039,              0.0015039,              0.0015039
                     59,                 0.6811,                0.39567,                0.91125,                0.99432,                      1,                  0.995,                 0.8582,                0.59067,                0.29389,                0.83851,              0.0014984,              0.0014984,              0.0014984
                     60,                0.66987,                0.37107,                0.88322,                0.99766,                      1,                  0.995,                0.86959,                0.56279,                0.28193,                0.83535,              0.0014927,              0.0014927,              0.0014927
                     61,                0.68254,                0.35999,                0.86208,                 0.9907,                0.99876,                  0.995,                0.87383,                 0.5623,                0.30384,                0.83744,               0.001487,               0.001487,               0.001487
                     62,                0.74158,                 0.4168,                0.94236,                 0.9852,                0.99826,                  0.995,                0.86137,                0.59141,                0.32716,                0.84044,              0.0014812,              0.0014812,              0.0014812
                     63,                0.62114,                  0.374,                0.87023,                0.99746,                      1,                  0.995,                0.88087,                0.57475,                0.29552,                0.83183,              0.0014753,              0.0014753,              0.0014753
                     64,                0.70183,                0.38122,                0.87789,                0.99632,                      1,                  0.995,                0.89105,                0.54463,                0.28266,                0.82785,              0.0014693,              0.0014693,              0.0014693
                     65,                0.66211,                0.36109,                0.86092,                0.99546,                      1,                  0.995,                0.88059,                0.55136,                0.28835,                0.82791,              0.0014632,              0.0014632,              0.0014632
                     66,                0.73387,                0.37495,                0.91424,                0.99543,                      1,                  0.995,                0.87924,                0.53757,                0.28168,                0.82749,              0.0014571,              0.0014571,              0.0014571
                     67,                0.61952,                0.35697,                0.87061,                0.99641,                      1,                  0.995,                0.87748,                0.53972,                0.27497,                0.82085,              0.0014509,              0.0014509,              0.0014509
                     68,                0.61361,                0.33194,                 0.8915,                0.99711,                      1,                  0.995,                0.87945,                  0.535,                0.27043,                0.81716,              0.0014446,              0.0014446,              0.0014446
                     69,                0.58211,                0.33824,                0.84547,                0.99728,                      1,                  0.995,                0.88386,                 0.5368,                0.27874,                0.82162,              0.0014383,              0.0014383,              0.0014383
                     70,                0.64774,                0.35532,                0.87711,                0.99713,                      1,                  0.995,                0.88558,                0.53203,                0.27718,                0.81742,              0.0014318,              0.0014318,              0.0014318
                     71,                0.62085,                0.33815,                0.86853,                0.99679,                      1,                  0.995,                0.89112,                0.51675,                0.26464,                0.80952,              0.0014253,              0.0014253,              0.0014253
                     72,                0.64487,                0.33886,                0.88168,                0.99577,                      1,                  0.995,                0.88728,                0.52017,                0.26626,                0.80865,              0.0014187,              0.0014187,              0.0014187
                     73,                 0.6236,                0.33814,                0.88227,                0.99527,                      1,                  0.995,                0.88167,                0.55723,                0.28708,                0.82177,              0.0014121,              0.0014121,              0.0014121
                     74,                0.64483,                0.34987,                 0.8717,                 0.9958,                      1,                  0.995,                 0.8865,                0.56256,                0.29049,                0.82443,              0.0014053,              0.0014053,              0.0014053
                     75,                0.61797,                0.34886,                0.86529,                 0.9963,                      1,                  0.995,                0.89401,                0.50735,                0.26961,                0.80873,              0.0013985,              0.0013985,              0.0013985
                     76,                0.61567,                 0.3256,                0.86652,                0.99732,                      1,                  0.995,                  0.896,                0.50914,                0.26901,                0.80657,              0.0013917,              0.0013917,              0.0013917
                     77,                0.60705,                0.31983,                0.85693,                0.99697,                      1,                  0.995,                0.90612,                0.48785,                0.25851,                0.80804,              0.0013847,              0.0013847,              0.0013847
                     78,                0.60089,                0.33038,                0.86751,                0.99728,                      1,                  0.995,                0.88292,                0.50984,                0.26604,                0.81323,              0.0013777,              0.0013777,              0.0013777
                     79,                0.54134,                0.30587,                0.83484,                0.99723,                      1,                  0.995,                0.89697,                0.51175,                0.26556,                0.80905,              0.0013707,              0.0013707,              0.0013707
                     80,                0.58378,                0.32647,                0.86578,                0.99726,                      1,                  0.995,                0.90103,                0.49985,                0.25588,                0.80347,              0.0013635,              0.0013635,              0.0013635
                     81,                0.56885,                0.30969,                0.86644,                 0.9973,                      1,                  0.995,                0.90816,                0.48957,                0.25589,                0.80427,              0.0013563,              0.0013563,              0.0013563
                     82,                0.65514,                0.37963,                0.89266,                0.99766,                      1,                  0.995,                0.90153,                 0.5048,                0.26158,                0.80888,               0.001349,               0.001349,               0.001349
                     83,                0.58653,                0.33541,                 0.8872,                0.99762,                      1,                  0.995,                 0.9036,                0.50274,                0.25708,                0.80767,              0.0013417,              0.0013417,              0.0013417
                     84,                0.59763,                0.34153,                0.86084,                0.99743,                      1,                  0.995,                0.90367,                0.50033,                 0.2627,                0.80645,              0.0013343,              0.0013343,              0.0013343
                     85,                 0.5525,                0.30216,                0.84486,                0.99688,                      1,                  0.995,                0.90124,                 0.5079,                0.27002,                0.80799,              0.0013269,              0.0013269,              0.0013269
                     86,                0.67407,                0.35249,                0.91016,                0.99646,                      1,                  0.995,                0.90921,                0.45686,                0.27068,                0.80235,              0.0013193,              0.0013193,              0.0013193
                     87,                0.58558,                0.33699,                0.89304,                0.99609,                      1,                  0.995,                0.92178,                0.45839,                 0.2745,                0.80181,              0.0013118,              0.0013118,              0.0013118
                     88,                0.57323,                0.33984,                0.85652,                0.99668,                      1,                  0.995,                0.90849,                0.45125,                 0.2662,                0.80182,              0.0013041,              0.0013041,              0.0013041
                     89,                0.57382,                0.31519,                0.84659,                0.99603,                      1,                  0.995,                0.91329,                0.45924,                0.26701,                0.80095,              0.0012964,              0.0012964,              0.0012964
                     90,                0.58805,                0.31127,                0.86019,                0.99622,                      1,                  0.995,                0.91781,                 0.4478,                0.25931,                0.79643,              0.0012887,              0.0012887,              0.0012887
                     91,                 0.5769,                0.32196,                0.87099,                0.99649,                      1,                  0.995,                0.92101,                0.41395,                0.24258,                0.79267,              0.0012808,              0.0012808,              0.0012808
                     92,                0.59091,                0.33089,                0.84351,                0.99675,                      1,                  0.995,                0.90104,                0.48956,                0.25389,                0.80523,               0.001273,               0.001273,               0.001273
                     93,                0.61391,                0.31941,                0.86545,                0.99689,                      1,                  0.995,                0.89669,                0.50139,                0.26339,                0.80611,              0.0012651,              0.0012651,              0.0012651
                     94,                 0.5634,                 0.3247,                0.84403,                0.99696,                      1,                  0.995,                0.91425,                0.47105,                0.24873,                0.79993,              0.0012571,              0.0012571,              0.0012571
                     95,                0.56337,                0.33221,                0.83901,                 0.9971,                      1,                  0.995,                0.90001,                0.46622,                0.24755,                0.80106,              0.0012491,              0.0012491,              0.0012491
                     96,                0.53426,                0.30829,                0.84498,                0.99703,                      1,                  0.995,                0.91135,                0.46475,                0.24924,                0.80281,               0.001241,               0.001241,               0.001241
                     97,                0.56582,                0.32878,                0.86555,                0.99575,                      1,                  0.995,                0.90092,                0.48153,                0.24978,                0.80692,              0.0012329,              0.0012329,              0.0012329
                     98,                0.58664,                0.31766,                0.86702,                0.99512,                      1,                  0.995,                0.91403,                0.46497,                0.25091,                0.80688,              0.0012247,              0.0012247,              0.0012247
                     99,                0.51783,                0.29751,                0.82773,                0.99301,                      1,                  0.995,                0.92099,                0.43955,                0.24471,                0.79913,              0.0012165,              0.0012165,              0.0012165
                    100,                0.53925,                0.29644,                  0.849,                0.98631,                      1,                  0.995,                0.92121,                0.43398,                0.24306,                0.79493,              0.0012082,              0.0012082,              0.0012082
                    101,                0.55172,                0.31727,                0.84806,                 0.9821,                      1,                  0.995,                0.91898,                0.42609,                0.24417,                0.79479,              0.0011999,              0.0011999,              0.0011999
                    102,                0.53042,                0.30724,                 0.8391,                0.98331,                      1,                  0.995,                0.93129,                0.39526,                0.24424,                0.78993,              0.0011915,              0.0011915,              0.0011915
                    103,                0.55218,                0.31152,                0.84847,                0.98836,                      1,                  0.995,                0.92931,                0.40085,                0.23871,                0.78946,              0.0011831,              0.0011831,              0.0011831
                    104,                0.52598,                0.30293,                0.85927,                 0.9923,                      1,                  0.995,                0.92549,                0.40905,                 0.2475,                0.79032,              0.0011746,              0.0011746,              0.0011746
