epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,134.66,0.48425,0.3015,0.82766,0.99578,1,0.995,0.8535,0.5014,0.27095,0.84792,0.00136781,0.00136781,0.00136781
44,137.586,0.5098,0.3108,0.82459,0.9963,1,0.995,0.86245,0.50998,0.28459,0.84622,0.00135438,0.00135438,0.00135438
45,140.519,0.54751,0.32681,0.82031,0.99599,1,0.995,0.86054,0.4906,0.27127,0.84478,0.00134073,0.00134073,0.00134073
46,143.417,0.50723,0.30429,0.8433,0.9958,1,0.995,0.86161,0.51194,0.28933,0.84924,0.00132685,0.00132685,0.00132685
47,146.324,0.48425,0.299,0.82336,0.99584,1,0.995,0.85762,0.48927,0.27332,0.84567,0.00131277,0.00131277,0.00131277
48,149.248,0.49075,0.30531,0.84465,0.99394,1,0.995,0.8636,0.4976,0.27369,0.8443,0.00129847,0.00129847,0.00129847
49,152.153,0.54864,0.31437,0.83307,0.98977,1,0.995,0.85357,0.50662,0.27794,0.84752,0.00128398,0.00128398,0.00128398
50,155.077,0.50997,0.30857,0.81475,0.98889,1,0.995,0.86885,0.46942,0.28089,0.83741,0.00126929,0.00126929,0.00126929
51,158.018,0.49974,0.29782,0.82494,0.9927,1,0.99497,0.87782,0.46277,0.27201,0.83623,0.00125442,0.00125442,0.00125442
52,160.968,0.48692,0.29765,0.81663,0.99414,1,0.99497,0.86692,0.47567,0.27306,0.83845,0.00123936,0.00123936,0.00123936
53,163.864,0.48085,0.29148,0.81615,0.99505,1,0.995,0.86549,0.49274,0.26744,0.84401,0.00122413,0.00122413,0.00122413
54,166.776,0.50317,0.29552,0.82355,0.99903,1,0.995,0.86805,0.47977,0.26118,0.84369,0.00120873,0.00120873,0.00120873
55,169.688,0.4769,0.28185,0.82578,0.9989,1,0.995,0.87622,0.45789,0.26043,0.83716,0.00119317,0.00119317,0.00119317
56,172.613,0.49445,0.29071,0.83784,0.99498,1,0.995,0.85716,0.4736,0.26689,0.84315,0.00117746,0.00117746,0.00117746
57,175.528,0.48365,0.28583,0.82012,0.99485,1,0.995,0.8711,0.44588,0.24985,0.83513,0.0011616,0.0011616,0.0011616
58,178.439,0.49706,0.28966,0.80826,0.99811,1,0.995,0.86937,0.47354,0.2557,0.83784,0.0011456,0.0011456,0.0011456
59,181.392,0.50942,0.30248,0.82277,0.99879,1,0.995,0.86986,0.48646,0.25041,0.84107,0.00112946,0.00112946,0.00112946
60,184.361,0.49145,0.29639,0.81865,0.999,1,0.995,0.8712,0.46572,0.24819,0.83665,0.0011132,0.0011132,0.0011132
61,187.296,0.49429,0.28856,0.82615,0.99624,1,0.995,0.86313,0.4676,0.25285,0.83856,0.00109683,0.00109683,0.00109683
62,190.239,0.48889,0.28547,0.81882,0.9955,1,0.995,0.88057,0.44203,0.24891,0.83357,0.00108033,0.00108033,0.00108033
63,193.222,0.49436,0.28015,0.80921,0.99528,1,0.995,0.88017,0.43562,0.24814,0.83407,0.00106374,0.00106374,0.00106374
64,196.207,0.45097,0.27828,0.81108,0.99454,1,0.995,0.87383,0.45668,0.25919,0.83805,0.00104705,0.00104705,0.00104705
65,199.154,0.52366,0.31009,0.9165,0.99531,1,0.995,0.88852,0.4463,0.2468,0.83318,0.00103026,0.00103026,0.00103026
66,202.156,0.48604,0.29376,0.81586,0.99495,1,0.995,0.88093,0.45398,0.2466,0.83481,0.0010134,0.0010134,0.0010134
67,205.118,0.51079,0.29375,0.8126,0.99511,1,0.995,0.88814,0.44987,0.24533,0.83359,0.000996456,0.000996456,0.000996456
68,208.14,0.4776,0.27673,0.80945,0.99532,1,0.995,0.87821,0.45108,0.24593,0.83335,0.000979447,0.000979447,0.000979447
69,211.125,0.46512,0.27154,0.83179,0.99543,1,0.995,0.86905,0.45505,0.23982,0.83473,0.000962378,0.000962378,0.000962378
70,214.071,0.46221,0.27207,0.81786,0.99764,1,0.995,0.87711,0.45209,0.23536,0.83301,0.000945256,0.000945256,0.000945256
71,217.051,0.5011,0.29206,0.81231,0.99847,1,0.995,0.89132,0.44823,0.24284,0.8323,0.000928088,0.000928088,0.000928088
72,220.054,0.48125,0.28079,0.82656,0.99714,1,0.995,0.89535,0.4382,0.23751,0.83102,0.000910883,0.000910883,0.000910883
73,223.066,0.48341,0.28058,0.81323,0.99589,1,0.995,0.88428,0.45111,0.24496,0.83264,0.000893648,0.000893648,0.000893648
74,225.979,0.50303,0.2949,0.82729,0.99525,1,0.995,0.86318,0.48376,0.26457,0.8444,0.000876389,0.000876389,0.000876389
75,228.876,0.47767,0.27418,0.81948,0.99582,1,0.995,0.88907,0.4262,0.24176,0.83081,0.000859116,0.000859116,0.000859116
76,231.78,0.44316,0.27508,0.81095,0.99581,1,0.995,0.88959,0.42911,0.23833,0.82947,0.000841835,0.000841835,0.000841835
77,234.689,0.45724,0.26595,0.81664,0.99589,1,0.995,0.87467,0.44091,0.23658,0.83247,0.000824554,0.000824554,0.000824554
78,237.603,0.47029,0.26407,0.81465,0.99891,1,0.995,0.89376,0.41814,0.23012,0.82894,0.000807281,0.000807281,0.000807281
79,240.527,0.46419,0.2647,0.8035,0.99909,1,0.995,0.88333,0.43224,0.2249,0.83297,0.000790022,0.000790022,0.000790022
80,243.427,0.4642,0.26738,0.8224,0.99898,1,0.995,0.88142,0.42682,0.2279,0.83041,0.000772787,0.000772787,0.000772787
81,246.366,0.43297,0.25453,0.834,0.99883,1,0.995,0.89788,0.40047,0.21795,0.82605,0.000755582,0.000755582,0.000755582
82,249.351,0.41575,0.24918,0.82408,0.99881,1,0.995,0.90089,0.40026,0.22137,0.82708,0.000738414,0.000738414,0.000738414
83,252.361,0.44081,0.25421,0.81367,0.99879,1,0.995,0.88589,0.41626,0.22657,0.82941,0.000721292,0.000721292,0.000721292
84,255.328,0.44724,0.25068,0.82203,0.9978,1,0.995,0.88921,0.42366,0.22077,0.82932,0.000704223,0.000704223,0.000704223
85,258.284,0.44948,0.2618,0.8113,0.99585,1,0.995,0.88999,0.42216,0.22589,0.82957,0.000687214,0.000687214,0.000687214
86,261.225,0.43814,0.25493,0.8253,0.99568,1,0.995,0.89293,0.41792,0.22504,0.82986,0.000670274,0.000670274,0.000670274
87,264.196,0.44131,0.2591,0.81841,0.99552,1,0.995,0.89798,0.39637,0.21945,0.82754,0.000653408,0.000653408,0.000653408
88,267.188,0.4346,0.24819,0.8156,0.99553,1,0.995,0.90309,0.39881,0.21803,0.8291,0.000636625,0.000636625,0.000636625
89,270.184,0.43747,0.25594,0.80279,0.99564,1,0.99497,0.90502,0.40811,0.2223,0.83074,0.000619932,0.000619932,0.000619932
90,273.156,0.43765,0.25357,0.80712,0.99558,1,0.995,0.9051,0.38351,0.21803,0.8255,0.000603336,0.000603336,0.000603336
91,276.154,0.45131,0.26235,0.81516,0.9959,1,0.995,0.90349,0.38586,0.21599,0.82569,0.000586845,0.000586845,0.000586845
92,279.122,0.41414,0.24008,0.80992,0.99881,1,0.995,0.90954,0.37951,0.20022,0.82459,0.000570466,0.000570466,0.000570466
93,282.067,0.44306,0.25954,0.8081,0.99888,1,0.995,0.90112,0.385,0.20282,0.82581,0.000554206,0.000554206,0.000554206
94,284.995,0.40788,0.24468,0.81563,0.99887,1,0.995,0.91176,0.37057,0.19683,0.82352,0.000538072,0.000538072,0.000538072
95,287.953,0.40453,0.24649,0.80519,0.99881,1,0.995,0.91445,0.37014,0.19655,0.82363,0.000522071,0.000522071,0.000522071
96,290.907,0.44108,0.23586,0.81771,0.99837,1,0.995,0.90288,0.376,0.19968,0.82507,0.00050621,0.00050621,0.00050621
97,293.837,0.42914,0.24281,0.81044,0.99692,1,0.995,0.91218,0.36556,0.20028,0.82446,0.000490497,0.000490497,0.000490497
98,296.774,0.42691,0.24779,0.80047,0.99695,1,0.995,0.917,0.36838,0.2021,0.82277,0.000474938,0.000474938,0.000474938
99,299.749,0.38378,0.22615,0.81004,0.99828,1,0.995,0.90677,0.39101,0.20101,0.82491,0.000459539,0.000459539,0.000459539
100,302.687,0.40425,0.23392,0.80738,0.99875,1,0.995,0.9101,0.38241,0.19624,0.8238,0.000444309,0.000444309,0.000444309
101,305.653,0.42541,0.24546,0.81616,0.9988,1,0.995,0.92484,0.36703,0.19869,0.82245,0.000429252,0.000429252,0.000429252
102,308.661,0.387,0.23122,0.79933,0.99881,1,0.995,0.91601,0.36279,0.19965,0.82166,0.000414377,0.000414377,0.000414377
103,311.606,0.39464,0.23167,0.79113,0.99892,1,0.995,0.91936,0.36072,0.20046,0.82132,0.000399689,0.000399689,0.000399689
104,314.533,0.38671,0.23116,0.80173,0.99891,1,0.995,0.9213,0.35932,0.19462,0.82087,0.000385196,0.000385196,0.000385196
105,317.437,0.36978,0.22569,0.79423,0.99859,1,0.995,0.92074,0.34794,0.18892,0.82165,0.000370902,0.000370902,0.000370902
106,320.363,0.40422,0.22954,0.80301,0.99798,1,0.995,0.92114,0.34589,0.1892,0.82063,0.000356815,0.000356815,0.000356815
107,323.259,0.3736,0.22954,0.80319,0.99745,1,0.995,0.92198,0.36416,0.20162,0.82136,0.000342941,0.000342941,0.000342941
108,326.168,0.37611,0.21547,0.7869,0.99621,1,0.995,0.92142,0.3636,0.19927,0.82078,0.000329286,0.000329286,0.000329286
109,329.077,0.37857,0.2201,0.79557,0.99583,1,0.995,0.91528,0.36332,0.19423,0.821,0.000315855,0.000315855,0.000315855
110,332.011,0.39676,0.23088,0.7977,0.99574,1,0.995,0.9225,0.35635,0.19313,0.81984,0.000302655,0.000302655,0.000302655
