epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59.626,1.11994,0.56778,1.09208,0.98376,0.97178,0.99382,0.71015,1.13563,0.56211,1.18113,0.00132868,0.00132868,0.00132868
43,60.9858,1.11959,0.55798,1.09124,0.98599,0.98865,0.99409,0.72208,1.09868,0.54512,1.15065,0.00132043,0.00132043,0.00132043
44,62.3788,1.14765,0.54236,1.064,0.98252,0.98164,0.99388,0.71059,1.06656,0.50064,1.14091,0.00131218,0.00131218,0.00131218
45,63.7003,1.12,0.55777,1.09792,0.99167,0.97747,0.9938,0.71929,1.07177,0.49202,1.15615,0.00130393,0.00130393,0.00130393
46,65.0308,1.11245,0.54886,1.09608,0.98861,0.98307,0.99364,0.73247,1.07212,0.49271,1.16934,0.00129568,0.00129568,0.00129568
47,66.3859,1.0926,0.54688,1.06983,0.9927,0.98472,0.99394,0.74462,1.05363,0.50084,1.15471,0.00128742,0.00128742,0.00128742
48,67.777,1.12991,0.55174,1.09468,0.97447,0.96922,0.98972,0.73635,1.05255,0.55043,1.14487,0.00127917,0.00127917,0.00127917
49,69.1238,1.07758,0.53844,1.07384,0.98242,0.97847,0.99319,0.74103,1.06539,0.50373,1.15399,0.00127092,0.00127092,0.00127092
50,70.454,1.16681,0.56214,1.11378,0.98639,0.97771,0.99349,0.729,1.07918,0.51847,1.16342,0.00126267,0.00126267,0.00126267
51,71.8089,1.08853,0.53444,1.0751,0.98813,0.96884,0.99369,0.71278,1.15263,0.53051,1.22001,0.00125442,0.00125442,0.00125442
52,73.1535,1.08037,0.53323,1.08164,0.98787,0.98198,0.99454,0.75206,0.99824,0.48635,1.11836,0.00124617,0.00124617,0.00124617
53,74.5386,1.10711,0.52672,1.07725,0.9793,0.99136,0.99428,0.73115,1.07236,0.52315,1.14633,0.00123791,0.00123791,0.00123791
54,75.8622,1.08275,0.52108,1.0774,0.97665,0.99277,0.99409,0.68904,1.24483,0.57399,1.24831,0.00122966,0.00122966,0.00122966
55,77.2076,1.07578,0.50809,1.04603,0.98059,0.99195,0.9944,0.71473,1.14112,0.53727,1.19951,0.00122141,0.00122141,0.00122141
56,78.562,1.0104,0.50726,1.02299,0.98502,0.98709,0.99425,0.69188,1.20974,0.51253,1.25435,0.00121316,0.00121316,0.00121316
57,79.908,1.08835,0.50803,1.0898,0.9876,0.9874,0.99433,0.71155,1.16267,0.51386,1.24805,0.00120491,0.00120491,0.00120491
